__metadata,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,INVENTORY_OPENING_BALANCE,UNIT
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1724')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1724')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1724,1724,JJ,02,10,02/10,6,30,02W,JJ-F06,500g Mixed Fruit Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1725')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1725')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1725,1725,JJ,02,10,02/10,6,30,02W,JJ-F11,1kg Nut Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1726')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1726')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1726,1726,JJ,02,10,02/10,6,30,02W,JJ-F12,1kg Blueberry Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1727')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1727')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1727,1727,JJ,02,10,02/10,6,30,02W,JJ-F13,1kg Strawberry Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1728')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1728')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1728,1728,JJ,02,10,02/10,6,30,02W,JJ-F14,1kg Raisin Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1729')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1729')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1729,1729,JJ,02,10,02/10,6,30,02W,JJ-F15,1kg Original Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1730')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1730')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1730,1730,JJ,02,10,02/10,6,30,02W,JJ-F16,1kg Mixed Fruit Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1731')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1731')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1731,1731,JJ,02,10,02/10,6,30,88,JJ-P01,Large Box (1kg),240000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1732')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1732')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1732,1732,JJ,02,10,02/10,6,30,88,JJ-P02,Large Bag (1kg),240000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1733')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1733')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1733,1733,JJ,02,10,02/10,6,30,88,JJ-P03,Small Box (500g),44000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1734')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1734')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1734,1734,JJ,02,10,02/10,6,30,88,JJ-P04,Small Bag (500g),44000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1735')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1735')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1735,1735,JJ,02,10,02/10,6,30,88,JJ-R01,Nuts,18000.000,KG
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1736')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1736')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1736,1736,JJ,02,10,02/10,6,30,88,JJ-R02,Blueberries,18000.000,KG
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1737')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1737')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1737,1737,JJ,02,10,02/10,6,30,88,JJ-R03,Strawberries,18000.000,KG
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1738')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1738')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1738,1738,JJ,02,10,02/10,6,30,88,JJ-R04,Raisins,18000.000,KG
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1739')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1739')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1739,1739,JJ,02,10,02/10,6,30,88,JJ-R05,Wheat,95000.000,KG
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1740')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1740')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1740,1740,JJ,02,10,02/10,6,30,88,JJ-R06,Oats,95000.000,KG
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1741')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1741')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1741,1741,JJ,02,11,02/11,7,31,02,JJ-F01,500g Nut Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1742')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1742')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1742,1742,JJ,02,11,02/11,7,31,02,JJ-F02,500g Blueberry Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1743')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1743')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1743,1743,JJ,02,11,02/11,7,31,02,JJ-F03,500g Strawberry Muesli,58,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1744')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1744')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1744,1744,JJ,02,11,02/11,7,31,02,JJ-F04,500g Raisin Muesli,6311,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1745')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1745')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1745,1745,JJ,02,11,02/11,7,31,02,JJ-F05,500g Original Muesli,37941,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1746')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1746')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1746,1746,JJ,02,11,02/11,7,31,02,JJ-F06,500g Mixed Fruit Muesli,16000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1747')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1747')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1747,1747,JJ,02,11,02/11,7,31,02,JJ-F11,1kg Nut Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1748')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1748')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1748,1748,JJ,02,11,02/11,7,31,02,JJ-F12,1kg Blueberry Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1749')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1749')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1749,1749,JJ,02,11,02/11,7,31,02,JJ-F13,1kg Strawberry Muesli,0,ST
