__metadata,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,UNIT,QUANTITY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Stock_Transfers('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Stock_Transfers('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Stock_Transfers'}",.1~1,1,JJ,04,06,04/06,14,66,02S,JJ-F12,1kg Blueberry Muesli,ST,6788
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Stock_Transfers('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Stock_Transfers('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Stock_Transfers'}",.1~2,2,JJ,04,06,04/06,14,66,02W,JJ-F12,1kg Blueberry Muesli,ST,5090
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Stock_Transfers('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Stock_Transfers('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Stock_Transfers'}",.1~3,3,JJ,04,06,04/06,14,66,02N,JJ-F12,1kg Blueberry Muesli,ST,5657
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Stock_Transfers('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Stock_Transfers('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Stock_Transfers'}",.1~4,4,JJ,04,06,04/06,14,66,02W,JJ-F13,1kg Strawberry Muesli,ST,2320
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Stock_Transfers('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Stock_Transfers('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Stock_Transfers'}",.1~5,5,JJ,04,06,04/06,14,66,02N,JJ-F13,1kg Strawberry Muesli,ST,2579
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Stock_Transfers('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Stock_Transfers('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Stock_Transfers'}",.1~6,6,JJ,04,06,04/06,14,66,02S,JJ-F13,1kg Strawberry Muesli,ST,3095
